customer_id,frequency,recency,T,monetary_value,expected_purchases_60d,probability_alive,probability_alive_60d,is_churn_60d
C00000,5.0,48.0,52.0,103.74600000000001,4.918453931159786,0.9337282559631302,0.15699859589648937,False
C00001,12.0,204.0,229.0,57.73500000000001,2.666590201174911,0.8447442430866047,0.20927594629277896,False
C00002,9.0,37.0,73.0,86.30777777777777,0.4536317261879124,0.07187520892641874,0.0002854795988774033,True
C00003,1.0,1.0,28.0,23.15,1.9155016051568978,0.5582791487813717,0.1029677028296143,False
C00004,17.0,98.0,146.0,109.96588235294118,0.19928639023149783,0.032318112379730465,8.71361378489088e-05,True
C00006,1.0,34.0,58.0,38.16,1.8281928341509333,0.8691068827814846,0.5623639772008219,False
C00007,4.0,50.0,82.0,88.84,2.203232639304488,0.6764246167350693,0.11600243570365577,True
C00008,12.0,176.0,177.0,56.01916666666667,3.7741440218164968,0.9572655582925983,0.3470152130693613,True
C00009,17.0,163.0,298.0,95.34529411764707,0.0021898459705404043,0.0006513346131286935,2.430704028024519e-05,True
C00010,1.0,4.0,31.0,15.72,2.0331523411352936,0.6299863464507639,0.14687908348106202,False
C00011,8.0,47.0,63.0,66.4525,4.5154276989629745,0.703589621040363,0.008889913582440958,False
C00012,15.0,107.0,112.0,84.282,6.352533012754571,0.927757650763045,0.019041088482850035,False
C00013,16.0,82.0,87.0,30.17375,7.927979803521129,0.9126657040892108,0.002760559513754801,False
C00014,3.0,10.0,108.0,32.57333333333333,0.021970278485842744,0.010096932976881754,0.0015491257948329704,True
C00015,3.0,137.0,263.0,10.226666666666667,0.5381993439370506,0.5418652591000398,0.3193961565515885,True
C00016,6.0,23.0,222.0,39.44,2.678327915961535e-05,1.4320847304203874e-05,2.4977955888649194e-06,True
C00017,7.0,45.0,248.0,97.41,9.979560288947347e-05,5.2409271992760386e-05,8.699994698018442e-06,True
C00019,25.0,152.0,230.0,50.553599999999996,0.005921928314570929,0.0010043509056967164,2.8494038518118466e-06,True
C00020,11.0,117.0,122.0,7.714545454545455,4.675054271566035,0.9364270340314381,0.12483771958247654,False
C00021,6.0,32.0,279.0,115.20666666666666,2.169942374351962e-05,1.4272450421848958e-05,3.393203482466108e-06,True
C00023,5.0,75.0,199.0,97.702,0.10494646386253378,0.058182728509278185,0.011550416323172268,True
